Export_country,Import_country,Nominal Value (SUM),Tons (SUM)
Belgium,Central African Republic,1778.73303222656,1.16299998760223
Belgium,Chad,168580.0803527832,174.05048411712826
Belgium,Chile,21859347.21720124,33974.791234887234
Belgium,China (mainland),430689154.9016048,302285.81976208836
Belgium,Colombia,60207675.22286987,92825.10360678483
Belgium,Congo,1075995.0624847412,842.3468396629305
Belgium,"Congo, D.R.",492113.6648178102,435.0172852619186
Belgium,Costa Rica,8650842.32085228,8679.101186664737
Belgium,Croatia,10298485.606443644,5770.622480987593
Belgium,Cuba,731196.3182125092,986.1497307828438
Belgium,Curacao,102170.34765625,112.044002532959
Belgium,Cyprus,150418.44140625,157.0783207322179
Belgium,Czech Republic,719370163.2843473,710939.1519214141
Belgium,Côte d'Ivoire,8428823.664660927,14866.844792358765
Belgium,Denmark,209641865.4134788,222616.037286597
Belgium,Djibouti,26847.02948474884,19.606714442000406
Belgium,Dominican Republic,20125675.53456116,17506.535487769237
Belgium,Ecuador,86670661.50448324,93084.31916803731
