Country,Nominal Value (SUM)_exporter,Tons (SUM)_exporter,Price_exporter,Nominal Value (SUM)_importer,Tons (SUM)_importer,Price_importer,Market share of value export,Market share of volume export,Market share of value import,Market share of volume import
Costa Rica,232576900.4933559,237813.22348375537,977.9813632156702,2003072431.4858944,3089604.867456241,648.3264098218102,0.00017844398209318764,0.00013494484308051235,0.001538694271612766,0.0017552743224095852
Croatia,766218787.5441556,1143684.6907265796,669.9563207909856,1095766152.4802778,1034216.4471216376,1059.5133693047921,0.0005878792404317005,0.0006489729581173813,0.000841731469789058,0.0005875617275748586
Curacao,412.220397949219,0.379999997258186,1084.7905287460865,1951968.6710624695,1644.5053100222647,1186.964042722393,3.162749574616439e-10,2.1562737029256838e-10,1.499438045933965e-06,9.342806176133714e-07
Cyprus,35045062.466142714,29414.83995170639,1191.4075522314615,84679545.27780391,92053.08559374245,919.8990422930508,2.688822701608607e-05,1.669117008454556e-05,6.504803780114742e-05,5.2297437495397234e-05
Czech Republic,6649890400.863812,7064521.989912628,941.3079059502023,20306733570.28293,23156341.255403917,876.9405039556503,0.0051021099735022975,0.004008695552763105,0.015598963935908488,0.013155640591681554
Côte d'Ivoire,13173690.292923098,24412.77559839172,539.6227987198213,451566114.3109978,624750.9503755053,722.7938013372927,1.0107477353705316e-05,1.3852796425804158e-05,0.0003468782168947048,0.0003549351286457477
Denmark,1036532737.2339029,836840.011216991,1238.6271250660027,8606207876.727032,11344935.862668188,758.5946699837012,0.0007952768688963299,0.0004748568744112958,0.006611005449466095,0.0064453143568227326
Djibouti,78085.57788848877,83.86000000149012,931.1421164691302,1488620823.6940598,2119651.5278493683,702.295072626602,5.991094314573925e-08,4.758555632507063e-08,0.0011435094897304303,0.0012042219179805643
Dominica,623696.537109375,800.3499965667718,779.2797398448431,39357855.4817996,68338.63046691382,575.9239717403282,4.785294389229676e-07,4.5415096399620156e-07,3.0233408348536104e-05,3.882471980501892e-05
Dominican Republic,1506788.7156829834,1156.1244964147568,1303.3100849914235,3018979646.347276,5562773.681665012,542.7112119081673,1.1560794645951206e-06,6.56031807082766e-07,0.0023190807356397885,0.00316033739707355
East Timor,50569.0,90.111,561.185648810911,30142727.867012024,36141.78713973182,834.0132088785161,3.8798925049429794e-08,5.1132626591131005e-08,2.3154650810778982e-05,2.0532965752541407e-05
Ecuador,12250205.580920458,7056.610710792531,1735.9899933525783,1230023489.8344026,1530064.5521845298,803.9030040126428,9.398936268746453e-06,4.004206372961458e-06,0.0009448635346418158,0.0008692642377566632
Egypt,3614868874.1000757,5030853.87731214,718.5398268874807,14080380104.058352,29306690.66847737,480.4493370929587,0.0027734981215710316,0.002854709999258084,0.010816084265197234,0.016649793035680965
El Salvador,117245194.38363886,133957.36619198511,875.2426067828574,411141195.38439775,677180.4252658391,607.1368575413222,8.995605033314147e-05,7.601282845186682e-05,0.000315825125551109,0.0003847214977642656
