Export_country,Import_country,Nominal Value (SUM),Tons (SUM),Nominal Value (SUM)_export,Tons (SUM)_export,Nominal Value (SUM)_import,Tons (SUM)_import,Nominal Value (SUM)_product,Tons (SUM)_product
France,Netherlands,752662046.9229993,576350.1187227358,43108679125.63054,51738983.78991773,23450192436.10187,25548302.043229587,1.0109068211622039e+21,1321843185274577.8
France,Russia,83034632.94796859,61141.659644445484,43108679125.63054,51738983.78991773,7505180857.672238,8804172.188609717,3.235384333732171e+20,455518922150122.7
France,Slovakia,122623412.74488673,78341.65623749612,43108679125.63054,51738983.78991773,6649030435.855892,6467076.028096452,2.8663091955586302e+20,334599941785847.9
France,South Africa,44033010.95036579,26966.506892313566,43108679125.63054,51738983.78991773,3491987766.0907483,3966841.6543924217,1.5053498011903345e+20,205240356053779.94
France,Spain,8749771807.852434,13827885.55133456,43108679125.63054,51738983.78991773,30411831383.82331,41310141.89855985,1.3110138807480195e+21,2137344762048789.5
France,Taiwan,16007433.704192165,8520.673463000356,43108679125.63054,51738983.78991773,52669875859.60428,75539050.02115303,2.2705287780184747e+21,3908313684550221.5
France,Ukraine,678346.5283203127,420.4197056507335,43108679125.63054,51738983.78991773,2669614115.0918794,2993415.9970440585,1.1508353827674995e+20,154876301747542.97
France,United Kingdom,890031857.8871716,690724.2027744618,43108679125.63054,51738983.78991773,14216521519.3457,15103076.82513566,6.128554644600953e+20,781417847033576.0
France,United States,1234516568.0,753243.9560167985,43108679125.63054,51738983.78991773,120595761242.0,180354448.0683238,5.19872397529253e+21,9331355865046564.0
France,Vietnam,371336.39453125,247.5020006000998,43108679125.63054,51738983.78991773,32798944594.642277,47520626.184310265,1.4139191781897682e+21,2458668907836769.0
Germany,Austria,5426705747.995422,4156568.282762642,87568789495.22942,88128706.37342833,15364702118.217093,15875548.654514426,1.3454683654470582e+21,1399091565890777.0
Germany,Belgium,4069335235.1249394,5041883.707752091,87568789495.22942,88128706.37342833,32479866310.468662,47476506.68932843,2.844222575774624e+21,4184043117659931.5
Germany,Brazil,503132877.9927979,416126.141017909,87568789495.22942,88128706.37342833,8298699654.963992,9379886.163980313,7.267070831696748e+20,826637233561604.0
Germany,Canada,258936562.0462036,178876.6004261511,87568789495.22942,88128706.37342833,21831402497.170246,21647464.564676967,1.911749489660327e+21,1907763048349611.0
Germany,China (mainland),2305704314.766236,1479665.7084928006,87568789495.22942,88128706.37342833,77759127639.26492,106341819.28649531,6.809272679575465e+21,9371766967115724.0
Germany,France,13579784621.95837,17358835.026794504,87568789495.22942,88128706.37342833,51544634493.05953,55433892.192151785,4.5137012475312713e+21,4885317208138426.0
Germany,India,939425578.003296,742947.2482141637,87568789495.22942,88128706.37342833,31245526612.397964,36080361.29465354,2.736132942588666e+21,3179715566383730.5
Germany,Indonesia,47840277.57208252,43413.8932302875,87568789495.22942,88128706.37342833,38517934065.54635,59878521.730703816,3.3729688599769545e+21,5277016659680144.0
Germany,Iran,47541888.122314446,30620.40714649336,87568789495.22942,88128706.37342833,7489451633.987148,10946534.846878693,6.558422135713226e+20,964703955327073.5
Germany,Italy,7474639773.151185,7768549.071024195,87568789495.22942,88128706.37342833,85028215439.92317,115714020.75218743,7.445817899013648e+21,1.0197726958158318e+16
Germany,Japan,28334262.93511965,16533.932340352963,87568789495.22942,88128706.37342833,29543652475.693275,33028302.14139705,2.587101884564198e+21,2910741541432055.0
Germany,Malaysia,50957064.90405271,29188.759389644936,87568789495.22942,88128706.37342833,16986894723.92083,19522853.46143032,1.4875218082566463e+21,1720523820273861.5
Germany,Mexico,1016754657.4551389,752636.7050550816,87568789495.22942,88128706.37342833,55197296936.53189,71488192.66756846,4.833560476140833e+21,6300161940767213.0
Germany,Netherlands,4966936366.271423,5326708.540267505,87568789495.22942,88128706.37342833,23450192436.10187,25548302.043229587,2.053504965059626e+21,2251538809107439.2
Germany,Russia,517715898.0260621,411303.1641970738,87568789495.22942,88128706.37342833,7505180857.672238,8804172.188609717,6.572196026491256e+20,775900305671089.6
Germany,Slovakia,1777390485.887207,1613286.3881558198,87568789495.22942,88128706.37342833,6649030435.855892,6467076.028096452,5.822475465848381e+20,569935044374749.4
Germany,South Africa,333476541.7622681,263806.6343931237,87568789495.22942,88128706.37342833,3491987766.0907483,3966841.6543924217,3.0578914160871716e+20,349592623389834.4
Germany,South Korea,3854208.06713867,2011.637419985668,87568789495.22942,88128706.37342833,45189048533.220924,62036767.390945196,3.957150278495329e+21,5467220057753283.0
Germany,Spain,4291601694.8489995,4710664.146800222,87568789495.22942,88128706.37342833,30411831383.82331,41310141.89855985,2.663127260614435e+21,3640609365622840.5
Germany,Sweden,1595970630.105103,1158934.7094941663,87568789495.22942,88128706.37342833,8710318987.062227,7368504.891323383,7.627520898143521e+20,649376803978608.9
Germany,Taiwan,82763465.02868654,65688.7637394034,87568789495.22942,88128706.37342833,52669875859.60428,75539050.02115303,4.6122372718895526e+21,6657158759041911.0
Germany,Ukraine,85987024.11114502,54348.27475303728,87568789495.22942,88128706.37342833,2669614115.0918794,2993415.9970440585,2.3377487647797395e+20,263805879457019.03
Germany,United Kingdom,2197275594.851915,1977058.2156636908,87568789495.22942,88128706.37342833,14216521519.3457,15103076.82513566,1.2449235802819826e+21,1331014622857710.8
Germany,United States,5091765864.0,3973590.6069445903,87568789495.22942,88128706.37342833,120595761242.0,180354448.0683238,1.0560424830217644e+22,1.5894404196955036e+16
Germany,Vietnam,11686076.588256838,9343.455070038272,87568789495.22942,88128706.37342833,32798944594.642277,47520626.184310265,2.8721638748739223e+21,4187931311678529.0
India,Austria,47353161.25065756,37524.102880048944,50812620524.42151,74242086.51628137,15364702118.217093,15875548.654514426,7.807207782037405e+20,1178633856701894.2
India,Belgium,1850561669.2098033,2301048.196563812,50812620524.42151,74242086.51628137,32479866310.468662,47476506.68932843,1.6503871215177866e+21,3524754917119932.5
India,Brazil,391778406.0,303664.54695680004,50812620524.42151,74242086.51628137,8298699654.963992,9379886.163980313,4.21678676413833e+20,696382320099096.9
India,Canada,311611819.5988785,246081.7000171082,50812620524.42151,74242086.51628137,21831402497.170246,21647464.564676967,1.1093107706046199e+21,1607152937068882.5
India,China (mainland),2646465239.7581406,5933217.12092285,50812620524.42151,74242086.51628137,77759127639.26492,106341819.28649531,3.9511450450440246e+21,7895038547766743.0
India,France,164565155.29887483,139630.59138782218,50812620524.42151,74242086.51628137,51544634493.05953,55433892.192151785,2.6191179525658415e+21,4115527820063947.0
