Country,Nominal Value (SUM)_exporter,Tons (SUM)_exporter,Price_exporter,Nominal Value (SUM)_importer,Tons (SUM)_importer,Price_importer
Czech Republic,6649890400.863812,7064521.989912628,941.3079059502023,20306733570.28293,23156341.255403917,876.9405039556503
Côte d'Ivoire,13173690.292923098,24412.77559839172,539.6227987198213,451566114.3109978,624750.9503755053,722.7938013372927
Denmark,1036532737.2339029,836840.011216991,1238.6271250660027,8606207876.727032,11344935.862668188,758.5946699837012
Djibouti,78085.57788848877,83.86000000149012,931.1421164691302,1488620823.6940598,2119651.5278493683,702.295072626602
Dominica,623696.537109375,800.3499965667718,779.2797398448431,39357855.4817996,68338.63046691382,575.9239717403282
Dominican Republic,1506788.7156829834,1156.1244964147568,1303.3100849914235,3018979646.347276,5562773.681665012,542.7112119081673
East Timor,50569.0,90.111,561.185648810911,30142727.867012024,36141.78713973182,834.0132088785161
Ecuador,12250205.580920458,7056.610710792531,1735.9899933525783,1230023489.8344026,1530064.5521845298,803.9030040126428
Egypt,3614868874.1000757,5030853.87731214,718.5398268874807,14080380104.058352,29306690.66847737,480.4493370929587
El Salvador,117245194.38363886,133957.36619198511,875.2426067828574,411141195.38439775,677180.4252658391,607.1368575413222
Estonia,56480889.490296185,43084.109141479,1310.9448150552453,914941992.4477267,789305.7195613745,1159.173143906989
Ethiopia,23550.26452350618,18.10678353067181,1300.6321351118734,1040985933.1131237,1844080.4421978858,564.5013684285997
Falkland Islands,16750.0,11.34,1477.0723104056437,201830.93530273435,118.66652814135041,1700.8244739605266
Finland,8639150696.609812,5966546.84726811,1447.9314279691612,2992713186.136454,2435357.104482391,1228.8601045933767
France,43108679125.63054,51738983.78991773,833.195319426259,51544634493.05953,55433892.19215179,929.8397145628736
Gabon,301316507.35690117,270633.97439329146,1113.3728055850859,53481906.854581356,55743.63052155933,959.4263300431566
Gambia,32334.82500076294,20.035,1613.9168954710726,63654004.215958595,71161.00179351162,894.5068592578821
Georgia,3316946418.4819775,3203876.2007544716,1035.2916937617251,253825759.6111361,379000.3381795996,669.724361804801
Germany,87568789495.22942,88128706.37342834,993.6466005091872,82866679359.00713,85265665.52379914,971.8645699877588
Ghana,13564690.868221283,16569.718005794548,818.6434351796219,1076692491.513298,1350666.976361037,797.1561534836069
Gibraltar,4940.387741088868,5.188000076055526,952.2721026721882,452195.5724314456,500.3852867880045,903.6947815434565
Greece,1129475240.1389413,1690631.7803768772,668.0787935307578,3216718773.799535,4063953.6704880493,791.524469670746
Greenland,13.36360025405884,0.008000000147148901,1670.4500010317447,255266.69606637952,168.0247950105296,1519.2203986940303
Grenada,105153.435546875,124.15299999999999,846.9665295794302,987771.4324951172,805.9788663254592,1225.555003691932
Guatemala,92092239.11574745,90012.48548417815,1023.1051683595035,2304224319.982747,3765351.059181959,611.9547111985227
Guinea,3104.033203125,3.5,886.8666294642857,110522917.09300853,137487.48289032545,803.8762130889638
Guyana,5952.754364013672,5.02699982374907,1184.1564696085838,19691389.144512177,23116.305960558937,851.8397869499411
Honduras,334049132.25641274,381079.70202324545,876.5860015184858,488944663.7678186,812975.941322774,601.4257481866786
Hong Kong SAR,550176063.7347902,556806.5121353362,988.092006368391,3030488230.5162888,3714655.544990573,815.8194464633677
Hungary,4098780176.397211,5232833.064542022,783.2812791546479,8273210338.098976,9148032.60232678,904.3704474768383
Iceland,1373337227.7525978,925242.546619821,1484.2996928424839,52301791.97647268,51507.46016863943,1015.421684649807
India,50812620524.42151,74242086.51628137,684.4180020893978,31245526612.397964,36080361.29465354,865.9981633007646
Indonesia,34951210344.90991,27965225.29109022,1249.809718359231,38517934065.54635,59878521.730703816,643.2679523849295
Iran,13063317252.267376,29321299.205503877,445.5231386819064,7489451633.987148,10946534.846878693,684.1846976006932
Iraq,26600863.354697943,73466.02268173873,362.08389107894436,1075278865.044001,1863542.956796622,577.0078232553197
Ireland,110136658.24863529,123050.43252826689,895.0529956352241,791024352.681937,659280.9628284147,1199.8289003952475
Israel,9432350.459014893,11522.571870606027,818.5976676853481,1041271240.0720874,1272033.3521480947,818.5880018897955
Italy,30321366781.145992,27740283.732377026,1093.0445799931188,85028215439.92317,115714020.75218743,734.8134209424732
Jamaica,100040.607421875,82.0704392027555,1218.9603028043277,26218108.885053635,25670.739683635675,1021.3226891068858
Japan,101495794396.70839,136118681.04876637,745.6419178815444,29543652475.693275,33028302.14139705,894.4950409262431
Jordan,17432558.686023712,29689.94398454872,587.153640138088,1477722660.0420623,3037927.2398924106,486.42463869358386
Kazakhstan,7208563394.613437,12080254.568172315,596.7228052963173,2154582137.763572,4198858.125805976,513.1352556357206
Kenya,121448671.0698686,132149.14883567233,919.0272668414248,3245723304.723338,5815868.795397152,558.0805583668081
Kosovo,2375090.988548279,1426.19084448067,1665.3388273665012,26652702.484860428,32767.12733024778,813.3975925395498
Kuwait,273082740.52494156,425668.5720897707,641.5384137576176,1158713837.5539212,2280807.9309966415,508.02780094139695
Kyrgyzstan,6107295.730822086,8977.472996907329,680.291183602112,117569706.12202543,131332.11721275968,895.2090974941112
Laos,149969.44239807135,163.9294266281211,914.8414990694844,97888012.38431954,101146.1534814829,967.7877903902709
Latvia,954010726.0597404,1181048.4608309956,807.7659450049073,1280292192.6334283,1611374.5830164128,794.5341859847294
Lebanon,21443720.017385487,34252.076005900846,626.0560677750226,451793397.1752583,639964.8526743492,705.9659531101728
Lesotho,210953.1612787248,261.04365200109754,808.1145036916579,184684681.0271534,126893.25146034393,1455.4334363862538
Liberia,935533.2069339751,656.7074014365347,1424.581487718144,50030915.23632479,55650.27426320236,899.0236957269901
Libya,1074952749.6645246,2755538.5806007315,390.1062236008234,666137010.8151251,1264647.314002985,526.737378428934
Liechtenstein,2344096.9470958714,1880.283918826523,1246.6718050531497,42728671.69281197,50672.96387005173,843.2242448337441
Lithuania,146178060.31495243,207766.97601051297,703.5673480060462,711450926.6729635,652275.575940461,1090.721395856625
Luxembourg,2794955807.4593444,3069095.224917624,910.6774481180727,3640285587.2038493,5060465.911756342,719.3577924804973
Macao,61827.51045227051,50.65233968703918,1220.6249668678347,10117673.785399437,8637.954487312205,1171.3043638121394
Macedonia,435451664.75641435,398940.72182941344,1091.5197194199015,737146907.0683905,1408410.9744165074,523.3890678633658
Malawi,77051.64832639694,105.24955297673245,732.0852787225688,46462176.53373766,45640.35430788832,1018.0064821650014
Malaysia,15684244226.153141,22324253.863630082,702.5652154809698,16986894723.92083,19522853.46143032,870.1030695886966
Mali,456512.03161621094,1079.962817989546,422.71087857084905,90226713.7626734,126024.29453802633,715.9469854080282
Malta,21711930.987883743,21706.312247518203,1000.2588528305255,28968746.480113037,21900.144991540787,1322.7650543547811
Mauritania,664479.5563278198,876.6360000000001,757.9879862654736,87013046.07013577,118048.71060510814,737.0944216511467
Mauritius,1194587.6220245361,1596.023264288884,748.4775747030169,93552150.76066305,162283.45890299178,576.4737293194233
Mexico,13698690666.574312,19324693.27940272,708.869758940759,55197296936.53189,71488192.66756846,772.1176725394103
Moldova,761228.0929570198,875.6783604672025,869.3010211544798,181753140.40561628,283167.1187926808,641.8582114355086
