Export_country,Import_country,Year,Quarter,Month,Nominal Value (SUM),Tons (SUM),Price,Period
Thailand,Indonesia,2022,3,24,15157074.0,16962.894509515252,3340.9005215970824,39
Thailand,Indonesia,2022,4,33,8283918.0,6251.421722605154,4270.641433829952,40
Thailand,Indonesia,2023,1,6,1688641.0,1089.582303725333,4666.504811330655,41
Thailand,Indonesia,2023,2,11,8514936.0,3889.432482779401,3842.0665264163868,42
Thailand,Indonesia,2023,3,24,3395474.0,2863.261059476843,4353.5037620059275,43
Thailand,Iran,2020,1,2,173.261474609375,0.2,866.307373046875,29
Thailand,Iran,2020,2,6,102184.34375,52.0,1965.0835336538464,30
Thailand,Iran,2020,3,16,55986.76806640625,28.1,3943.3012893800815,31
Thailand,Iran,2020,4,12,47611.87890625,24.0,1983.8282877604167,32
Thailand,Iran,2021,1,3,38.5454635620117,0.0479352577890845,804.115078125,33
Thailand,Iran,2023,3,9,7523.2001953125,5.2,1446.769268329327,43
Thailand,Italy,2018,1,1,54319.33984375,52.004,1044.522341430467,21
Thailand,Italy,2020,1,1,36224.98046875,17.098,2118.667707845947,29
Thailand,Italy,2022,1,3,1939.34399414063,1.76925104342578,1096.1383922009738,37
Thailand,Japan,2013,3,17,2532665.315429683,1124.97413920656,4484.111974326555,3
Thailand,Japan,2014,3,17,1192376.4733886719,745.626276445181,3518.125339982105,7
Thailand,Japan,2016,4,10,525890.573852539,230.945,2277.124743348152,16
Thailand,Japan,2017,2,6,855148.638183594,381.039387363336,2244.2526062749944,18
Thailand,Japan,2019,3,9,820783.369262695,386.94,2121.216129794529,27
Thailand,Japan,2020,2,6,443537.652587891,235.59782088465,1882.605072162571,30
Thailand,Malaysia,2013,1,6,5149692.08384693,5987.559417214,2619.9549489103197,1
Thailand,Malaysia,2013,2,15,3708476.426739692,4394.042536867696,2613.9494618278063,2
Thailand,Malaysia,2013,3,24,2654973.1059823018,3333.80529901332,2453.844464103315,3
Thailand,Malaysia,2013,4,33,3393152.760119793,5100.9782652205,2019.8199085684946,4
Thailand,Malaysia,2014,1,6,2891029.642471312,3495.44995668214,2486.685388589776,5
Thailand,Malaysia,2014,2,15,2929928.958618167,3174.18332285572,2773.1679967581517,6
Thailand,Malaysia,2014,3,24,3021469.949484355,3198.6030580841834,2820.717751696526,7
Thailand,Malaysia,2014,4,33,2205377.778579712,2410.283308228046,2756.524286406691,8
Thailand,Malaysia,2015,1,6,1892239.909320831,1940.95081660914,2888.926269428156,9
Thailand,Malaysia,2015,2,15,1975626.051574707,2042.5363849373152,2898.0049117837134,10
Thailand,Malaysia,2015,3,24,1936867.6340953119,2293.590356481464,2469.4681680261333,11
Thailand,Malaysia,2015,4,33,1857832.187042356,2472.466299366452,2300.5833308758247,12
Thailand,Malaysia,2016,1,6,1141946.374938965,1447.909226536054,2652.453274705887,13
Thailand,Malaysia,2016,2,15,766399.3580237629,840.8417501104179,2858.774244819953,14
Thailand,Malaysia,2016,3,24,1374807.461085319,1425.919420902254,3121.2265885825573,15
Thailand,Malaysia,2016,4,33,863953.706020355,910.844968208277,2916.7889287109374,16
