Export_country,Import_country,Nominal Value (SUM),Tons (SUM),Price
Austria,Djibouti,25.9381999969482,0.028016131193349,925.8309014167488
Austria,Dominican Republic,903.7917823791502,1.0477697196981801,862.5862776789311
Austria,Ecuador,366.5706958770758,0.3049868417049754,1201.9229873257045
Austria,Egypt,12319072.695434572,14603.057385952596,843.5954451076045
Austria,El Salvador,398.270713806152,0.286837532474141,1388.4888437396419
Austria,Estonia,8291093.623310093,8550.611795857807,969.6491691187017
Austria,Ethiopia,1092.392379760742,0.668355798036613,1634.4473751402988
Austria,Faroe Islands,356.357391357422,0.364288046520579,978.2297134399413
Austria,Finland,21746371.16449106,13790.976025415788,1576.855120653828
Austria,France,941616155.1898792,709415.6386187033,1327.3123736365487
Austria,French Polynesia,13.4748001098633,0.0059052003112938,2281.853180169436
Austria,Gabon,40.048999786377,0.043257359119351,925.8309014167546
Austria,Georgia,431.4930057525635,0.3111091552942763,1386.950523344184
Austria,Germany,7227516735.588562,6860570.160304134,1053.4863089670905
Austria,Ghana,17253.411476135254,18.771658312487464,919.120260390515
Austria,Greece,16297776.406859158,11203.116362909628,1454.7538273204516
Austria,Guatemala,592.9988002777097,0.25987596635541776,2281.8531801694144
Austria,Haiti,127.086502075195,0.100000001490116,1270.8650018145872
Austria,Honduras,199.9070014953614,0.1920170766848436,1041.0897038260168
Austria,Hong Kong SAR,300612.82480573654,140.40312930280174,2141.069264613163
Austria,Hungary,666106365.9576398,513861.3359510718,1296.2764842480078
Austria,Iceland,1213.7517069578173,0.7343952353286383,1652.722741882536
Austria,India,13227139.692398554,7882.553347865094,1678.0272975863822
Austria,Indonesia,386.86180877685524,0.30000000447034797,1289.5393433738855
Austria,Iran,2092069.322265625,1315.9964182164629,1589.7226567690468
Austria,Ireland,88578.38461685186,55.446217019430705,1597.5550610749556
Austria,Israel,75435.36194229135,73.33375368913043,1028.6581300893154
Austria,Italy,4506961993.086527,5101500.914131307,883.4580389081398
Austria,Jordan,27730.30849647522,24.757542892451703,1120.075147074869
Austria,Kazakhstan,990.2458953857417,0.6801216307827629,1455.9835337777035
Austria,Kenya,6515.270320892335,10.7535121723659,605.8737105106097
Austria,Kosovo,3071.5279407501275,1.6908319506429041,1816.5778920739237
Austria,Kuwait,15597.90108299258,10.955611927278404,1423.736180738141
Austria,Kyrgyzstan,1.97979998588562,0.00177249285852,1116.9579478806577
Austria,Laos,3191.7515869140598,1.764345062647507,1809.0291148176211
Austria,Latvia,95059.93682622915,52.27182450204688,1818.5693293048678
Austria,Lebanon,86521.06526470181,37.54960067342331,2304.180702670942
Austria,Liberia,925.1296005249029,0.8643754660538817,1070.286740955734
Austria,Libya,878.5926856994639,0.9110807386221382,964.3411922286853
Austria,Liechtenstein,770445.8896427158,704.9378185081356,1092.9274461018638
Austria,Lithuania,867054.5711178774,713.6565266035465,1214.9466007750073
Austria,Luxembourg,19490372.558750868,22788.26127958524,855.2812485176844
Austria,Macedonia,1158613.8999385836,1179.7078514474758,982.1193429517228
Austria,Madagascar,36.63470077514652,0.0160548019011575,2281.8531801694344
Austria,Malawi,7716.592868804939,7.501801352134221,1028.6319920494311
Austria,Malaysia,32096.77024841311,17.219790449749198,1863.9466224677892
Austria,Malta,53903.810386657715,70.13651388094168,768.5555982745401
Austria,Mauritius,30.868800163269,0.026505034046686,1164.6391439790893
Austria,Mexico,106882291.44406465,97577.82813963252,1095.3542775221188
Austria,Moldova,418148.8137211799,438.55512513319337,953.4692214443603
Austria,Morocco,77786.31144714357,68.91191669647682,1128.778811794687
Austria,Myanmar,13.4483995437622,0.0058936305195427,2281.8531801694435
Austria,Namibia,202.6604938507084,0.0888139936486455,2281.85318016942
Austria,Nepal,2562.49755859375,1.12298967385952,2281.853180169406
Austria,Netherlands,312896757.5914351,234350.79559280296,1335.164050968745
Austria,New Caledonia,8.93360042572021,0.0039150636436025,2281.853180169463
Austria,New Zealand,3079.3187527656532,2.5966198007877135,1185.8951209690026
Austria,Nigeria,1744.3822364807177,1.4642724996562615,1191.2961807929958
Austria,Norway,17941911.010774735,16975.215420401863,1056.9474711473197
Austria,Oman,29389.747589111328,49.90725425596652,588.8872875749865
Austria,Pakistan,2163.502548217778,1.137716548265333,1901.6182471077284
Austria,Panama,15776.286707878124,11.57494477934421,1362.9686368812158
Austria,Paraguay,267.9597969055172,0.21004373999636428,1275.7333158805657
Austria,Peru,2906.4971828460743,2.567634373992086,1131.974712710803
Austria,Philippines,682.4715011119847,1.6899217329381697,403.8479935549505
Austria,Poland,850372560.0565994,1031653.7438906836,824.2809809903688
Austria,Portugal,184567.3456268311,92.80655778447121,1988.731723629488
Austria,Qatar,589.674590110779,0.3103710300208482,1899.9021592677948
Austria,Romania,626206098.2805948,841540.6750508385,744.1186348393261
Austria,Russia,10608979.444055555,7339.176403129939,1445.5272446552917
Austria,Rwanda,199.598098754883,0.100000001490116,1995.9809578063987
Austria,San Marino,543.0726003646852,0.2379962940141332,2281.853180169416
Austria,Saudi Arabia,253.91349792480503,0.12175631556566041,2085.423632812503
Austria,Senegal,37523.016105651855,22.985524534995058,1632.4629028379893
Austria,Serbia,78578465.80588223,92556.02687978724,848.9827022063164
Austria,Singapore,24745.64105987554,12.169033562056908,2033.4927119465378
Austria,Slovakia,451518464.072919,478776.3824573769,943.0675376163014
Austria,Slovenia,504405795.9890616,362935.75823178695,1389.7936054758363
Austria,South Africa,22280961.616923336,16972.87884212882,1312.7390953630793
Austria,South Korea,3570.56875610352,1.68848407500231,2114.6594208172414
Austria,Spain,239731134.20108116,235425.28580524327,1018.2896598430804
Austria,Sri Lanka,1036.6091938018797,0.6566765235674992,1578.568985792786
Austria,Sudan,124.8474998474116,0.0643163031500426,1941.1485693783834
Austria,Suriname,2410.12719726563,2.0,1205.063598632815
Austria,Sweden,277605950.8394269,152795.05593479596,1816.8516588514024
Austria,Switzerland,1010760365.3166379,985995.181616138,1025.1169419103119
Austria,Syria,343.122009277344,0.307193310122734,1116.9579478806204
Austria,Tajikistan,26819.538803100586,20.84604813144469,1286.552666193135
Austria,Tanzania,8.09459972381592,0.0035473797324747,2281.853180169414
Austria,Trinidad and Tobago,3353.642303466797,4.235295614024204,791.8319307776261
Austria,Turkey,236298437.6887417,189999.7152209476,1243.67785190601
Austria,Turkmenistan,22.0711002349854,0.0206216702407025,1070.2867409557375
Austria,Ukraine,3408259.313178539,3545.3982512304983,961.3191725346052
Austria,United Arab Emirates,297940.1165237427,259.0853766222852,1149.9688651208708
Austria,United Kingdom,211393863.27985886,183244.27860124828,1153.6178094807858
Austria,United States,139228439.0,69573.24417237255,2001.177904756775
Austria,Uruguay,827.976806640625,0.877756108175135,943.288003272342
Austria,Uzbekistan,1211.112722396853,1.116094388690113,1085.1346755880181
Austria,Vietnam,2262.156738281255,1.100000001490116,2056.5061229243843
Austria,Yemen,305.393600463867,0.273415486270847,1116.9579478806197
Azerbaijan,Austria,744016.234375,451.099990844726,1649.3377288298357
Azerbaijan,Belgium,150956.6171875,95.7119979858398,1577.196384614533
Azerbaijan,Canada,35060.0634765625,29.889,1173.00891553958
Azerbaijan,Estonia,667287.9921875,401.9099960327152,1660.2921021481218
Azerbaijan,Ethiopia,128458.5078125,264.322,485.9924932941639
Azerbaijan,France,747283.8270263672,514.6799918413165,1451.9387558721457
Azerbaijan,Georgia,3839182.087677002,3714.556018256477,1033.5507309105064
Azerbaijan,Germany,7602775.05078125,6618.400047302247,1148.733076943611
Azerbaijan,Iran,32413836.671875,106906.375,303.1983515657976
Azerbaijan,Israel,153000.0,135.521768149409,1128.9699218749988
Azerbaijan,Italy,4882694.7578125,2714.7670000000003,1798.5686277358238
Azerbaijan,Japan,45396.22265625,39.92,1137.1799262587674
Azerbaijan,Kazakhstan,267422.05000019073,226.77600430324674,1179.2343322294
Azerbaijan,Latvia,1479583.779296875,723.3700027465823,2045.4038371497368
Azerbaijan,Netherlands,8365686.708618164,5793.330019950869,1444.020395836022
Azerbaijan,Peru,23035.052734375,10.0,2303.5052734375
Azerbaijan,Poland,686546.15625,430.70399093627884,1594.0092748097431
Azerbaijan,Romania,588182.05078125,358.9199848175055,1638.7553651555897
Azerbaijan,Russia,2328698.785949707,2691.0080000000003,865.3630111652238
Azerbaijan,Slovakia,244703.28125,110.0,2224.575284090909
Azerbaijan,Slovenia,97006.73046875,70.83299827575681,1369.513261193567
Azerbaijan,South Africa,1132.42065429688,0.639989990234375,1769.434946759353
