Export_country,Import_country,Distance,Distance capital,Distance weighted with popuation,Distance weighted with population_1
Iran,Ukraine,2349.756,2349.756,2206.66,2124.324
Iran,United States,9865.231,10191.14,11098.36,11003.46
Iran,Vietnam,5502.821,5502.821,5971.439,5936.052
Iran,South Africa,8471.103,7256.418,7571.688,7537.13
Italy,Austria,767.4132,767.4132,700.9222,618.7315
Italy,Belgium,1174.904,1174.904,1087.702,995.9626
Italy,Brazil,9482.516,8913.18,8940.465,8855.038
Italy,Canada,7089.198,6737.826,7269.783,7159.589
Italy,China (mainland),8134.695,8134.695,8466.926,8444.155
Italy,Germany,1146.023,1187.299,1013.826,889.9425
Italy,Spain,1366.76,1366.76,1325.827,1219.245
Italy,France,1109.901,1109.901,891.5286,712.8497
Italy,United Kingdom,1438.425,1438.425,1487.006,1399.13
Italy,Indonesia,10823.78,10823.78,10902.43,10869.4
Italy,India,5922.222,5922.222,6388.826,6352.288
Italy,Iran,3417.937,3417.937,3536.223,3490.787
Italy,Italy,206.4667,206.4667,407.5189,168.0636
Italy,Japan,9869.275,9869.275,9710.689,9706.069
Italy,South Korea,8982.659,8982.659,9047.517,9043.907
Italy,Mexico,10254.87,10254.87,10108.35,10095.18
Italy,Malaysia,9717.922,9717.922,9907.099,9887.72
Italy,Netherlands,1297.695,1297.695,1174.921,1092.614
Italy,Russia,2383.171,2383.171,3101.445,2798.584
Italy,Slovakia,789.4631,789.4631,906.8877,863.0097
Italy,Sweden,1980.122,1980.122,1833.431,1772.384
Italy,Taiwan,9614.098,9614.098,9631.883,9630.214
Italy,Ukraine,1674.773,1674.773,1810.01,1765.606
Italy,United States,6895.107,7224.739,8284.006,8076.798
Italy,Vietnam,8741.851,8741.851,9337.082,9320.302
Italy,South Africa,8460.335,7697.383,8134.674,8110.853
Japan,Austria,9141.063,9141.063,9110.659,9106.568
Japan,Belgium,9463.263,9463.263,9371.254,9368.437
Japan,Brazil,18549.61,17693.2,17981.98,17931.71
Japan,Canada,10358.49,10330.62,9756.434,9599.364
Japan,China (mainland),2098.111,2098.111,1974.968,1816.706
Japan,Germany,9298.341,8927.671,9086.037,9079.584
Japan,Spain,10777.42,10777.42,10684.76,10671.17
Japan,France,9725.629,9725.629,9803.116,9796.539
Japan,United Kingdom,9574.237,9574.237,9436.248,9431.94
Japan,Indonesia,5791.627,5791.627,5481.534,5443.457
Japan,India,5847.71,5847.71,6003.253,5945.685
Japan,Iran,7672.881,7672.881,7542.874,7525.389
Japan,Italy,9869.275,9869.275,9710.69,9706.069
Japan,Japan,231.188,231.188,391.786,83.09705
Japan,South Korea,1156.67,1156.67,951.7373,843.8443
Japan,Mexico,11312.39,11312.39,11098.87,11044.71
Japan,Malaysia,5329.095,5329.095,4967.821,4913.138
Japan,Netherlands,9303.377,9303.377,9228.859,9225.791
Japan,Russia,7486.303,7486.303,6683.27,6034.677
Japan,Slovakia,9104.249,9104.249,8860.199,8856.159
Japan,Sweden,8180.65,8180.65,8226.76,8217.302
Japan,Taiwan,2103.047,2103.047,2033.312,1966.245
Japan,Ukraine,8215.83,8215.83,8040.759,8031.861
Japan,United States,10855.59,10918.79,10286.19,10193.96
Japan,Vietnam,3672.564,3672.564,3902.722,3843.984
Japan,South Africa,14746.39,13517.0,13617.97,13594.8
