Export_country,Nominal Value (SUM),Tons (SUM),Price
Lithuania,110468092.08206369,187951.4815140453,587.7479187298057
Luxembourg,2548255689.945511,2926031.5952878064,870.8913786335457
Macao,24423.490463256836,26.273,929.6041739906686
Macedonia,398489409.46029025,377440.86711646273,1055.7664635115752
Malawi,76945.7954287529,105.17955297673244,731.5661005497395
Malaysia,14376885898.71695,21601660.29341193,665.5454119469516
Mali,456512.03161621094,1079.962817989546,422.71087857084905
Malta,18070686.629476484,19644.061051926106,919.9058474573743
Mauritania,664479.5563278198,876.6360000000001,757.9879862654736
Mauritius,1045207.9021835327,1511.2086750366666,691.6370448695133
Mexico,13539792999.489788,19237439.62572288,703.8251068185486
Moldova,565816.7511410713,758.899360430784,745.5754750140906
Mongolia,766410.0,1655.6816322057412,462.89696345726145
Montenegro,6056605.412387848,6520.964671117722,928.7897907518826
Morocco,136398069.62335443,173355.29201418167,786.8122630614364
Mozambique,2897961.2807655334,3343.5461162490847,866.7328578726394
Myanmar,88331999.89414763,107669.43292648182,820.3999732631818
Namibia,1040532.8547806815,1125.6073811501226,924.4190045355658
Nepal,153784916.45226294,171350.46092644116,897.4876146862604
Netherlands,28872909542.07013,34210143.1481234,843.9868087384474
Netherlands Antilles,730226.584634304,938.3123984737397,778.2339717796458
New Caledonia,4.61396503448486,0.012,384.4970862070716
New Zealand,292906784.9227119,472456.65298392315,619.9654149704163
Nicaragua,657158.1378479005,662.626653476019,991.7472145144907
Niger,2360027.846923828,5465.967116571426,431.7676628110005
Nigeria,17324622.351454735,33957.999562221536,510.17794259967167
Norway,7645786608.97175,6952139.485126342,1099.7746269805752
Oman,10091999744.029812,18964542.340380017,532.1509774871575
"Other Africa, nes.",15356.17006874085,34.02,451.3865393515829
"Other Europe, nes.",70215598.84230804,110658.44673907253,634.525433091187
Pakistan,623348302.6259828,1246880.6258047957,499.92620763005624
Panama,19987876.03090477,32143.090209493294,621.8405231305811
Papua New Guinea,178084.2303466797,199.66013180751634,891.9368565696578
Paraguay,38165865.30957031,42320.45803385925,901.8301569192616
Peru,36851469.29283602,68836.92276893489,535.3445187626335
Philippines,48120892.345314026,64865.399116099565,741.8576467738166
Poland,8531237834.725442,11051151.692732312,771.9772628165019
Portugal,1872040237.2600732,3038911.4638033323,616.0232897726911
Qatar,2389138571.9729977,4701796.867311125,508.13309026242644
"Rest of America, nes.",893.439994812012,0.932010011672974,958.6163062865298
Romania,3098565224.350829,3983795.534419735,777.7922329545848
Russia,118138841675.87965,251523417.80480725,469.6932107035869
Réunion,2690949.111328125,2391.799902182305,1125.0728411155437
Saudi Arabia,1351689210.712078,2307398.4623407223,585.8065838099188
Senegal,166780885.69485858,225916.61989067867,738.2408862861176
Serbia,2798319921.5299377,3873873.6434411616,722.3570459681257
Seychelles,353319.2265319825,377.3329646221099,936.3592891647392
Sierra Leone,2840241.536046028,4342.326728254175,654.0828716470036
Singapore,634285908.1226939,719744.3820092916,881.2655214507886
Slovakia,16890024574.056343,19608502.27134001,861.3622978611161
Slovenia,2144895287.2776358,2042145.8288955442,1050.314456944371
Solomon Islands,12276.3251953125,26.959999809265142,455.35331165297663
Somalia,109825.24609375,124.373,883.0312535176445
South Africa,12257902367.30416,16690590.773393253,734.4199216030557
South Korea,86616233901.05627,107444711.18540026,806.14702152809
Spain,10068061157.003126,10467078.359705977,961.8788367689206
Sri Lanka,2989663.5778913503,5036.101667023462,593.6463907128311
Sudan,64004.76171875,106.0,603.8185067806604
Swaziland,12817019.900778532,21108.292185587477,607.2030739431331
Sweden,8422670348.274239,7447565.193708578,1130.929388223334
Switzerland,1408296397.2502818,1661782.5644672574,847.4612908829986
