Country,Nominal Value (SUM)_exporter,Tons (SUM)_exporter,Price_exporter,Nominal Value (SUM)_importer,Tons (SUM)_importer,Price_importer
Qatar,2389138571.9729977,4701796.867311125,508.1330902624264,1237104700.657322,2270880.7751090424,544.7686704723277
Romania,3098565224.350829,3983795.534419735,777.7922329545848,5306063478.742906,6865588.884976236,772.8489962971722
Russia,118138841675.87964,251523417.80480725,469.6932107035869,6601313637.609305,8312270.989332922,794.1648733638165
Réunion,2690949.111328125,2391.799902182305,1125.0728411155435,14683327.538036346,18555.097871049227,791.3365717647953
Saudi Arabia,1351689210.712078,2307398.4623407223,585.8065838099188,12584401527.03461,21105114.62423585,596.2725979504247
Senegal,166780885.69485858,225916.61989067867,738.2408862861176,319303606.19341475,480418.4706217366,664.6364070477681
Serbia,2798319921.5299377,3873873.6434411616,722.3570459681257,823856481.4214922,910881.3100073437,904.4608472808058
Seychelles,353319.2265319825,377.3329646221099,936.3592891647392,2353778.055774987,4813.162975174496,489.0293696505578
Sierra Leone,2840241.536046028,4342.326728254175,654.0828716470036,88553527.33355832,98167.33699775736,902.0671237682787
Singapore,634285908.1226939,719744.3820092916,881.2655214507886,3376929017.681312,3674381.2220852096,919.0469941942788
Slovakia,16890024574.056343,19608502.27134001,861.3622978611161,5539329183.815034,5815015.346823553,952.5906387918455
Slovenia,2144895287.277636,2042145.828895544,1050.314456944371,4199631618.583604,4851718.366958234,865.5967434516498
Solomon Islands,12276.3251953125,26.959999809265145,455.35331165297663,4113144.673194885,4312.599608074185,953.750648563369
Somalia,109825.24609375,124.373,883.0312535176445,235522341.90183225,289701.9035331136,812.9816857586214
South Africa,12257902367.30416,16690590.773393253,734.4199216030557,2992357290.453191,3678157.710439392,813.5478481415427
South Korea,86616233901.05627,107444711.18540026,806.14702152809,42472793396.88966,60549392.86102453,701.4569657927864
Spain,10068061157.003126,10467078.359705975,961.8788367689206,29131592752.95228,40559750.334810935,718.2389564156096
Sri Lanka,2989663.5778913503,5036.101667023462,593.6463907128311,2438911130.568651,4968606.899378418,490.8641758062533
Sudan,64004.76171875,106.0,603.8185067806604,1123117268.433293,2041142.408730516,550.239544105016
Swaziland,12817019.900778532,21108.29218558748,607.2030739431331,73996791.467937,61765.31320458309,1198.031510385773
Sweden,8422670348.274239,7447565.193708578,1130.929388223334,5389210372.301744,5593644.901986075,963.4523582982996
Switzerland,1408296397.2502818,1661782.5644672574,847.4612908829986,6103397995.57134,5747996.137553814,1061.830566603125
Taiwan,28330903076.239098,36009278.08063352,786.7667608553363,41140432943.57359,69094127.1780571,595.4259012137715
